,Coordinates1,Coordinates3,Lunar_Day,Crime_Count
408,5,8582,1.0,1
409,5,8583,1.0,1
410,5,8586,1.0,1
411,5,8589,1.0,1
412,5,8590,1.0,1
413,5,8593,1.0,1
414,5,8749,1.0,1
415,5,8764,1.0,1
416,5,8772,1.0,1
417,5,8914,1.0,1
418,5,8916,1.0,1
419,5,8917,1.0,1
420,5,8918,1.0,1
421,5,8921,1.0,1
422,5,8927,1.0,1
423,5,8929,1.0,1
424,5,9110,1.0,1
425,6,55,1.0,1
426,6,61,1.0,1
427,6,84,1.0,1
428,6,93,1.0,1
429,6,98,1.0,1
430,6,106,1.0,1
431,6,112,1.0,1
432,6,114,1.0,1
433,6,136,1.0,1
434,6,139,1.0,1
435,6,142,1.0,1
436,6,164,1.0,1
437,6,167,1.0,1
438,6,219,1.0,1
439,6,220,1.0,1
440,6,252,1.0,1
441,6,257,1.0,1
442,6,271,1.0,1
443,6,317,1.0,1
444,6,350,1.0,1
445,6,359,1.0,1
446,6,382,1.0,1
447,6,385,1.0,1
448,6,405,1.0,1
449,6,408,1.0,1
450,6,412,1.0,1
451,6,431,1.0,1
452,6,436,1.0,1
453,6,463,1.0,1
454,6,470,1.0,1
455,6,506,1.0,1
456,6,507,1.0,1
457,6,517,1.0,1
458,6,519,1.0,1
459,6,522,1.0,1
460,6,523,1.0,1
461,6,546,1.0,1
462,6,547,1.0,1
463,6,548,1.0,1
464,6,595,1.0,1
465,6,597,1.0,1
466,6,600,1.0,1
467,6,625,1.0,1
468,6,635,1.0,1
469,6,636,1.0,1
470,6,637,1.0,1
471,6,639,1.0,1
472,6,640,1.0,1
473,6,663,1.0,1
474,6,668,1.0,1
475,6,678,1.0,1
476,6,711,1.0,1
477,6,715,1.0,1
478,6,724,1.0,1
479,6,744,1.0,1
480,6,774,1.0,1
481,6,775,1.0,1
482,6,776,1.0,1
483,6,778,1.0,1
484,6,782,1.0,1
485,6,787,1.0,1
486,6,788,1.0,1
487,6,795,1.0,1
488,6,831,1.0,1
489,6,843,1.0,1
490,6,844,1.0,1
491,6,846,1.0,1
492,6,854,1.0,1
493,6,857,1.0,1
494,6,858,1.0,1
495,6,911,1.0,1
496,6,913,1.0,1
497,6,915,1.0,1
498,6,926,1.0,1
499,6,963,1.0,1
500,6,966,1.0,1
501,6,968,1.0,1
502,6,973,1.0,1
503,6,977,1.0,1
504,6,979,1.0,1
505,6,981,1.0,1
506,6,986,1.0,1
507,6,991,1.0,1
508,6,1028,1.0,1
509,6,1030,1.0,1
510,6,1031,1.0,1
511,6,1033,1.0,1
512,6,1048,1.0,1
513,6,1068,1.0,1
514,6,1075,1.0,1
515,6,1077,1.0,1
516,6,1081,1.0,1
517,6,1082,1.0,1
518,6,1084,1.0,1
519,6,1086,1.0,1
520,6,1091,1.0,1
521,6,1092,1.0,1
522,6,1094,1.0,1
523,6,1097,1.0,1
524,6,1138,1.0,1
525,6,1141,1.0,1
526,6,1143,1.0,1
527,6,1150,1.0,1
528,6,1152,1.0,1
529,6,1155,1.0,1
530,6,1188,1.0,1
531,6,1198,1.0,1
532,6,1200,1.0,1
533,6,1202,1.0,1
534,6,1206,1.0,1
535,6,1212,1.0,1
536,6,1213,1.0,1
537,6,1224,1.0,1
538,6,1253,1.0,1
539,6,1258,1.0,1
540,6,1259,1.0,1
541,6,1261,1.0,1
542,6,1263,1.0,1
543,6,1265,1.0,1
544,6,1273,1.0,1
545,6,1277,1.0,1
546,6,1278,1.0,1
547,6,1280,1.0,1
548,6,1313,1.0,1
549,6,1318,1.0,1
550,6,1324,1.0,1
551,6,1328,1.0,1
552,6,1375,1.0,1
553,6,1377,1.0,1
554,6,1380,1.0,1
555,6,1382,1.0,1
556,6,1384,1.0,1
557,6,1389,1.0,1
558,6,1392,1.0,1
559,6,1430,1.0,1
560,6,1442,1.0,1
561,6,1443,1.0,1
562,6,1447,1.0,1
563,6,1449,1.0,1
564,6,1484,1.0,1
565,6,1495,1.0,1
566,6,1497,1.0,1
567,6,1498,1.0,1
568,6,1501,1.0,1
569,6,1508,1.0,1
570,6,1513,1.0,1
571,6,1546,1.0,1
572,6,1561,1.0,1
573,6,1562,1.0,1
574,6,1565,1.0,1
575,6,1573,1.0,1
576,6,1577,1.0,1
577,6,1578,1.0,1
578,6,1621,1.0,1
579,6,1625,1.0,1
580,6,1627,1.0,1
581,6,1635,1.0,1
582,6,1654,1.0,1
583,6,1656,1.0,1
584,6,1690,1.0,1
585,6,1692,1.0,1
586,6,1707,1.0,1
587,6,1709,1.0,1
588,6,1718,1.0,1
589,6,1720,1.0,1
590,6,1723,1.0,1
591,6,1729,1.0,1
592,6,1731,1.0,1
593,6,1732,1.0,1
594,6,1796,1.0,1
595,6,1812,1.0,1
596,6,1814,1.0,1
597,6,1817,1.0,1
598,6,1821,1.0,1
599,6,1875,1.0,1
600,6,1877,1.0,1
601,6,1883,1.0,1
602,6,1887,1.0,1
603,6,1891,1.0,1
604,6,1892,1.0,1
605,6,1896,1.0,1
606,6,1902,1.0,1
607,6,1958,1.0,1
608,6,1961,1.0,1
609,6,1962,1.0,1
610,6,1969,1.0,1
611,6,1977,1.0,1
612,6,1981,1.0,1
613,6,2054,1.0,1
614,6,2063,1.0,1
615,6,2065,1.0,1
616,6,2127,1.0,1
617,6,2135,1.0,1
618,6,2141,1.0,1
619,6,2145,1.0,1
620,6,2204,1.0,1
621,6,2205,1.0,1
622,6,2209,1.0,1
623,6,2211,1.0,1
624,6,2215,1.0,1
625,6,2217,1.0,1
626,6,2218,1.0,1
627,6,2219,1.0,1
628,6,2222,1.0,1
629,6,2226,1.0,1
630,6,2228,1.0,1
631,6,2231,1.0,1
632,6,2235,1.0,1
633,6,2241,1.0,1
634,6,2244,1.0,1
635,6,2245,1.0,1
636,6,2300,1.0,1
637,6,2308,1.0,1
638,6,2310,1.0,1
639,6,2319,1.0,1
640,6,2322,1.0,1
641,6,2324,1.0,1
642,6,2329,1.0,1
643,6,2330,1.0,1
644,6,2331,1.0,1
645,6,2334,1.0,1
646,6,2336,1.0,1
647,6,2382,1.0,1
648,6,2385,1.0,1
649,6,2386,1.0,1
650,6,2392,1.0,1
651,6,2394,1.0,1
652,6,2399,1.0,1
653,6,2400,1.0,1
654,6,2401,1.0,1
655,6,2407,1.0,1
656,6,2411,1.0,1
657,6,2412,1.0,1
658,6,2413,1.0,1
659,6,2428,1.0,1
660,6,2479,1.0,1
661,6,2480,1.0,1
662,6,2483,1.0,1
663,6,2492,1.0,1
664,6,2506,1.0,1
665,6,2511,1.0,1
666,6,2512,1.0,1
667,6,2593,1.0,1
668,6,2598,1.0,1
669,6,2601,1.0,1
670,6,2605,1.0,1
671,6,2610,1.0,1
672,6,2611,1.0,1
673,6,2617,1.0,1
674,6,2618,1.0,1
675,6,2621,1.0,1
676,6,2622,1.0,1
677,6,2625,1.0,1
678,6,2627,1.0,1
679,6,2698,1.0,1
680,6,2707,1.0,1
681,6,2708,1.0,1
682,6,2716,1.0,1
683,6,2724,1.0,1
684,6,2729,1.0,1
685,6,2742,1.0,1
686,6,2805,1.0,1
687,6,2830,1.0,1
688,6,2832,1.0,1
689,6,2836,1.0,1
690,6,2853,1.0,1
691,6,2926,1.0,1
692,6,2927,1.0,1
693,6,2929,1.0,1
694,6,2933,1.0,1
695,6,2939,1.0,1
696,6,2941,1.0,1
697,6,2947,1.0,1
698,6,2948,1.0,1
699,6,2961,1.0,1
700,6,3036,1.0,1
701,6,3037,1.0,1
702,6,3041,1.0,1
703,6,3044,1.0,1
704,6,3045,1.0,1
705,6,3046,1.0,1
706,6,3060,1.0,1
707,6,3074,1.0,1
708,6,3144,1.0,1
709,6,3150,1.0,1
710,6,3153,1.0,1
711,6,3164,1.0,1
712,6,3177,1.0,1
713,6,3178,1.0,1
714,6,3181,1.0,1
715,6,3182,1.0,1
716,6,3185,1.0,1
717,6,3259,1.0,1
718,6,3262,1.0,1
719,6,3263,1.0,1
720,6,3266,1.0,1
721,6,3282,1.0,1
722,6,3285,1.0,1
723,6,3287,1.0,1
724,6,3289,1.0,1
725,6,3291,1.0,1
726,6,3292,1.0,1
727,6,3297,1.0,1
728,6,3300,1.0,1
729,6,3366,1.0,1
730,6,3369,1.0,1
731,6,3370,1.0,1
732,6,3378,1.0,1
733,6,3380,1.0,1
734,6,3382,1.0,1
735,6,3388,1.0,1
736,6,3390,1.0,1
737,6,3392,1.0,1
738,6,3395,1.0,1
739,6,3400,1.0,1
740,6,3405,1.0,1
741,6,3406,1.0,1
742,6,3466,1.0,1
743,6,3473,1.0,1
744,6,3478,1.0,1
745,6,3491,1.0,1
746,6,3498,1.0,1
747,6,3503,1.0,1
748,6,3504,1.0,1
749,6,3505,1.0,1
750,6,3508,1.0,1
751,6,3568,1.0,1
752,6,3569,1.0,1
753,6,3574,1.0,1
754,6,3577,1.0,1
755,6,3596,1.0,1
756,6,3597,1.0,1
757,6,3601,1.0,1
758,6,3605,1.0,1
759,6,3610,1.0,1
760,6,3616,1.0,1
761,6,3617,1.0,1
762,6,3618,1.0,1
763,6,3621,1.0,1
764,6,3677,1.0,1
765,6,3680,1.0,1
766,6,3690,1.0,1
767,6,3702,1.0,1
768,6,3708,1.0,1
769,6,3714,1.0,1
770,6,3725,1.0,1
771,6,3727,1.0,1
772,6,3728,1.0,1
773,6,3767,1.0,1
774,6,3771,1.0,1
775,6,3772,1.0,1
776,6,3781,1.0,1
777,6,3782,1.0,1
778,6,3784,1.0,1
779,6,3805,1.0,1
780,6,3807,1.0,1
781,6,3808,1.0,1
782,6,3809,1.0,1
783,6,3812,1.0,1
784,6,3850,1.0,1
785,6,3854,1.0,1
786,6,3859,1.0,1
787,6,3861,1.0,1
788,6,3885,1.0,1
789,6,3890,1.0,1
790,6,3937,1.0,1
791,6,3939,1.0,1
792,6,3942,1.0,1
793,6,3946,1.0,1
794,6,3947,1.0,1
795,6,3948,1.0,1
796,6,3950,1.0,1
797,6,3957,1.0,1
798,6,3958,1.0,1
799,6,3971,1.0,1
800,6,3972,1.0,1
801,6,3976,1.0,1
802,6,3977,1.0,1
803,6,3981,1.0,1
804,6,3985,1.0,1
805,6,3986,1.0,1
806,6,3991,1.0,1
807,6,4034,1.0,1
808,6,4040,1.0,1
809,6,4044,1.0,1
810,6,4047,1.0,1
811,6,4055,1.0,1
812,6,4058,1.0,1
813,6,4061,1.0,1
814,6,4064,1.0,1
815,6,4067,1.0,1
816,6,4073,1.0,1
817,6,4075,1.0,1
818,6,4077,1.0,1
819,6,4078,1.0,1
820,6,4079,1.0,1
821,6,4089,1.0,1
822,6,4094,1.0,1
823,6,4095,1.0,1
824,6,4130,1.0,1
825,6,4138,1.0,1
826,6,4144,1.0,1
827,6,4148,1.0,1
828,6,4151,1.0,1
829,6,4173,1.0,1
830,6,4175,1.0,1
831,6,4177,1.0,1
832,6,4182,1.0,1
833,6,4189,1.0,1
834,6,4190,1.0,1
835,6,4239,1.0,1
836,6,4240,1.0,1
