Coordinates3,Count
"(33.662, -84.381)",3
"(33.662, -84.383)",3
"(33.662, -84.384)",3
"(33.662, -84.385)",1
"(33.662, -84.386)",2
"(33.662, -84.387)",5
"(33.662, -84.392)",14
"(33.662, -84.393)",2
"(33.662, -84.509)",3
"(33.662, -84.511)",3
"(33.662, -84.512)",9
"(33.662, -84.513)",3
"(33.662, -84.514)",6
"(33.662, -84.515)",18
"(33.662, -84.516)",10
"(33.662, -84.517)",18
"(33.662, -84.519)",27
"(33.662, -84.52)",1
"(33.662, -84.522)",2
"(33.662, -84.524)",5
"(33.662, -84.525)",6
"(33.662, -84.526)",4
"(33.662, -84.527)",4
"(33.663, -84.374)",4
"(33.663, -84.376)",26
"(33.663, -84.378)",18
"(33.663, -84.379)",13
"(33.663, -84.38)",6
"(33.663, -84.381)",2
"(33.663, -84.382)",4
"(33.663, -84.384)",1
"(33.663, -84.385)",7
"(33.663, -84.386)",1
"(33.663, -84.387)",6
"(33.663, -84.392)",3
"(33.663, -84.393)",7
"(33.663, -84.511)",2
"(33.663, -84.512)",5
"(33.663, -84.513)",7
"(33.663, -84.514)",7
"(33.663, -84.515)",8
"(33.663, -84.516)",5
"(33.663, -84.517)",8
"(33.663, -84.518)",2
"(33.663, -84.519)",4
"(33.663, -84.521)",2
"(33.663, -84.522)",7
"(33.663, -84.523)",13
"(33.663, -84.524)",28
"(33.663, -84.525)",7
"(33.663, -84.526)",4
"(33.663, -84.527)",2
"(33.663, -84.528)",19
"(33.664, -84.374)",9
"(33.664, -84.375)",10
"(33.664, -84.376)",4
"(33.664, -84.377)",17
"(33.664, -84.378)",15
"(33.664, -84.379)",17
"(33.664, -84.38)",16
"(33.664, -84.381)",3
"(33.664, -84.382)",2
"(33.664, -84.392)",20
"(33.664, -84.394)",6
"(33.664, -84.509)",2
"(33.664, -84.51)",1
"(33.664, -84.512)",3
"(33.664, -84.513)",5
"(33.664, -84.514)",4
"(33.664, -84.515)",10
"(33.664, -84.516)",1
"(33.664, -84.517)",11
"(33.664, -84.518)",8
"(33.664, -84.519)",6
"(33.664, -84.52)",6
"(33.664, -84.521)",14
"(33.664, -84.522)",7
"(33.664, -84.523)",21
"(33.664, -84.524)",256
"(33.664, -84.525)",7
"(33.664, -84.526)",2
"(33.665, -84.355)",1
"(33.665, -84.367)",6
"(33.665, -84.374)",4
"(33.665, -84.376)",6
"(33.665, -84.377)",14
"(33.665, -84.378)",10
"(33.665, -84.379)",8
"(33.665, -84.38)",6
"(33.665, -84.381)",1
"(33.665, -84.382)",12
"(33.665, -84.383)",18
"(33.665, -84.384)",17
"(33.665, -84.385)",5
"(33.665, -84.509)",4
"(33.665, -84.51)",1
"(33.665, -84.511)",6
"(33.665, -84.512)",2
"(33.665, -84.513)",1
"(33.665, -84.514)",1
"(33.665, -84.515)",11
"(33.665, -84.516)",7
"(33.665, -84.517)",20
"(33.665, -84.518)",3
"(33.665, -84.519)",7
"(33.665, -84.52)",5
"(33.665, -84.521)",4
"(33.666, -84.356)",5
"(33.666, -84.357)",4
"(33.666, -84.359)",1
"(33.666, -84.36)",4
"(33.666, -84.361)",2
"(33.666, -84.364)",5
"(33.666, -84.366)",5
"(33.666, -84.367)",9
"(33.666, -84.374)",4
"(33.666, -84.376)",5
"(33.666, -84.377)",3
"(33.666, -84.378)",16
"(33.666, -84.379)",7
"(33.666, -84.38)",6
"(33.666, -84.381)",2
"(33.666, -84.382)",9
"(33.666, -84.383)",1
"(33.666, -84.384)",14
"(33.666, -84.385)",17
"(33.666, -84.493)",7
"(33.666, -84.494)",9
"(33.666, -84.496)",5
"(33.666, -84.509)",3
"(33.666, -84.51)",1
"(33.666, -84.511)",5
"(33.666, -84.512)",2
"(33.666, -84.513)",8
"(33.666, -84.514)",4
"(33.666, -84.515)",13
"(33.666, -84.516)",16
"(33.666, -84.517)",1
"(33.666, -84.518)",3
"(33.666, -84.52)",4
"(33.666, -84.521)",5
"(33.667, -84.355)",2
"(33.667, -84.356)",2
"(33.667, -84.361)",5
"(33.667, -84.362)",2
"(33.667, -84.363)",3
"(33.667, -84.364)",9
"(33.667, -84.366)",1
"(33.667, -84.367)",7
"(33.667, -84.373)",3
"(33.667, -84.377)",11
"(33.667, -84.378)",15
"(33.667, -84.379)",9
"(33.667, -84.38)",9
"(33.667, -84.381)",8
"(33.667, -84.382)",15
"(33.667, -84.383)",12
"(33.667, -84.385)",2
"(33.667, -84.387)",3
"(33.667, -84.388)",13
"(33.667, -84.389)",3
"(33.667, -84.39)",13
"(33.667, -84.391)",34
"(33.667, -84.392)",8
"(33.667, -84.393)",10
"(33.667, -84.395)",59
"(33.667, -84.396)",2
"(33.667, -84.492)",3
"(33.667, -84.493)",9
"(33.667, -84.495)",4
"(33.667, -84.496)",3
"(33.667, -84.509)",10
"(33.667, -84.51)",4
"(33.667, -84.511)",7
"(33.667, -84.512)",9
"(33.667, -84.515)",2
"(33.667, -84.516)",5
"(33.667, -84.521)",4
"(33.668, -84.356)",2
"(33.668, -84.357)",2
"(33.668, -84.362)",2
"(33.668, -84.363)",5
"(33.668, -84.364)",1
"(33.668, -84.366)",12
"(33.668, -84.367)",6
"(33.668, -84.377)",4
"(33.668, -84.378)",4
"(33.668, -84.379)",17
"(33.668, -84.38)",9
"(33.668, -84.381)",9
"(33.668, -84.382)",12
"(33.668, -84.383)",5
"(33.668, -84.384)",2
"(33.668, -84.385)",15
"(33.668, -84.386)",3
"(33.668, -84.387)",11
"(33.668, -84.388)",11
"(33.668, -84.389)",3
"(33.668, -84.39)",14
"(33.668, -84.391)",6
"(33.668, -84.392)",6
"(33.668, -84.393)",13
"(33.668, -84.395)",11
"(33.668, -84.396)",12
"(33.668, -84.492)",13
"(33.668, -84.493)",1
"(33.668, -84.495)",5
"(33.668, -84.496)",1
"(33.668, -84.499)",5
"(33.668, -84.5)",15
"(33.668, -84.501)",1
"(33.668, -84.502)",4
"(33.668, -84.503)",2
"(33.668, -84.508)",1
"(33.668, -84.509)",4
"(33.668, -84.51)",2
"(33.668, -84.511)",3
"(33.668, -84.512)",9
"(33.668, -84.513)",5
"(33.668, -84.515)",3
"(33.668, -84.516)",4
"(33.669, -84.356)",3
"(33.669, -84.357)",6
"(33.669, -84.358)",4
"(33.669, -84.359)",1
"(33.669, -84.367)",3
"(33.669, -84.368)",1
"(33.669, -84.377)",4
"(33.669, -84.378)",7
"(33.669, -84.38)",2
"(33.669, -84.383)",3
"(33.669, -84.384)",3
"(33.669, -84.385)",9
"(33.669, -84.386)",6
"(33.669, -84.387)",5
"(33.669, -84.388)",3
